PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulusan,397.47,246.98,-,-,-,0,0,13.27,14.6664,13.2589,11.1205,10.884
Bunawan,901.37,560.08,-,-,-,13.4997,0,16.8078,16.8526,10.7711,11.393,11.2618
Burauen,584.28,363.06,-,-,-,16.2272,0,16.4148,16.9522,13.4151,11.3719,11.876
Burdeos,110.12,68.42,-,-,-,9.5661,0,16.2146,14.5146,12.1872,11.361,11.5181
Burgos (IA),284.86,177,-,-,-,14.7244,0,16.5304,16.0084,12.3589,11.2164,11.1338
Burgos (IN),76.1,47.28,-,-,-,5.1469,0,16.9874,17.5785,13.958,11.7823,12.7149
Burgos (IS),305.97,190.12,-,-,-,12.8639,0,16.7945,16.8715,13.4403,11.3654,11.2471
Burgos (LU),221.07,137.37,-,-,-,15.0673,0,16.7359,18.0505,14.5584,12.6077,12.3533
Burgos (PS),201.92,125.47,-,-,-,15.4744,0,16.9908,16.959,12.8228,11.4577,11.4781
Burgos (SN),103.53,64.33,-,-,-,14.3548,0,16.1747,16.2211,13.0986,10.9414,10.8899
Buruanga,320.15,198.93,-,-,-,13.9283,0,15.4556,16.6133,13.4308,11.2538,11.9021
